,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Division,Seats,Voters,Party,Candidate(s),Votes,%,,,,,,,,
,Bukit Panjang SMC,1,"30,452", People's Action Party,Teo Ho Pin,"21,652",77.18 / 100,,,,,,,,
,,,, Singapore Democratic Party,Ling How Doong,"6,400",22.82 / 100,,,,,,,,
,,,,,,,,,,,,,,,
,Chua Chu Kang SMC,1,"24,975", People's Action Party,Gan Kim Yong,"14,156",60.37 / 100,,,,,,,,
,,,, Singapore Democratic Alliance,Steve Chia,"9,292",39.63 / 100,,,,,,,,
,,,,,,,,,,,,,,,
,Hougang SMC,1,"23,759", Workers' Party,Low Thia Khiang,"13,989",62.74 / 100,,,,,,,,
,,,, People's Action Party,Eric Low,"8,308",37.26 / 100,,,,,,,,
,,,,,,,,,,,,,,,
,Joo Chiat SMC,1,"21,858", People's Action Party,Chan Soo Sen,"12,226",65.01 / 100,,,,,,,,
,,,, Workers' Party,Tan Bin Seng,"6,580",34.99 / 100,,,,,,,,
,,,,,,,,,,,,,,,
,MacPherson SMC,1,"21,041", People's Action Party,Matthias Yao,"13,184",68.28 / 100,,,,,,,,
,,,, Singapore Democratic Alliance,Sin Kek Tong,"6,067",31.52 / 100,,,,,,,,
,,,,,,,,,,,,,,,
,Nee Soon Central SMC,1,"23,152", People's Action Party,Ong Ah Heng,"14,211",65.37 / 100,,,,,,,,
,,,, Workers' Party,Lian Chin Way,"7,529",34.63 / 100,,,,,,,,
,,,,,,,,,,,,,,,
,Nee Soon East SMC,1,"32,586", People's Action Party,Ho Peng Kee,"20,949",68.72 / 100,,,,,,,,
,,,, Workers' Party,Poh Lee Guan,"9,535",31.28 / 100,,,,,,,,
,,,,,,,,,,,,,,,
,Potong Pasir SMC,1,"15,888", Singapore Democratic Alliance,Chiam See Tong,"8,245",55.82 / 100,,,,,,,,
,,,, People's Action Party,Sitoh Yih Pin,"6,527",44.18 / 100,,,,,,,,
,,,,,,,,,,,,,,,
,Yio Chu Kang SMC,1,"25,072", People's Action Party,Seng Han Thong,"15,726",68.28 / 100,,,,,,,,
,,,, Singapore Democratic Alliance,Yip Yew Weng,"7,307",31.72 / 100,,,,,,,,
,Aljunied GRC,5,"145,141", People's Action Party,"Cynthia Phua
George Yeo Yong-Boon
Lim Hwee Hua
Yeo Guat Kwang
Zainul Abidin Bin Mohamed Rasheed","74,843",56.09 / 100,,,,,,,,
,,,, Workers' Party,"Goh Meng Seng
James Gomez
Sylvia Lim
Mohammed Rahizan Bin Yaacob
Tan Wui-Hua","58,593",43.91 / 100,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Bishan–Toa Payoh GRC,5,"115,323", People's Action Party,"Hri Kumar Sangaran
Ng Eng Hen
Wong Kan Seng
Josephine Teo
Zainudin Bin Nordin","Uncontested",,,,,,,,,
,,,,,,,,,,,,,,,
,East Coast GRC,5,"116,653", People's Action Party,"Abdullah Tarmugi
Shunmugam Jayakumar
Jessica Tan
Lee Yi Shyan
Raymond Lim","66,931",63.86 / 100,,,,,,,,
,,,, Workers' Party,"Abdul Rahim Abdul Rahman
Brandon Siow
Chia Ti Lik
Eric Tan
Perry Tong","37,873",36.14 / 100,,,,,,,,
,,,,,,,,,,,,,,,
