,,,,,,,,,
,Division,Seats,Voters,Party,Candidate(s),Votes,%,Swing,Margins
,Aljunied GRC,5,"143,148", Workers' Party,"Low Thia Khiang
Sylvia Lim
Chen Show Mao
Pritam Singh
Muhamad Faisal bin Abdul Manap","72,289",54.72 / 100,10.81,9.44%
,,,, People's Action Party,"George Yeo
Lim Hwee Hua
Zainul Abidin bin Mohamed Rasheed
Cynthia Phua
Ong Ye Kung","59,829",45.28 / 100,10.81,
,Ang Mo Kio GRC,6,"179,071", People's Action Party,"Lee Hsien Loong
Yeo Guat Kwang
Inderjit Singh
Seng Han Thong
Ang Hin Kee
Intan Azura Mokhtar","112,677",69.33 / 100,3.19,38.66%
,,,, Reform Party,"Alex Tan
Arthero Lim
Vignes Ramachandran
Lim Zi Rui
Mansor Rahman
Osman Sulaiman","49,851",30.67 / 100,3.19,
,Bishan–Toa Payoh GRC,5,"122,492", People's Action Party,"Wong Kan Seng
Ng Eng Hen
Josephine Teo
Hri Kumar
Zainudin Nordin","62,385",56.93 / 100,N/A,13.86%
,,,, Singapore People's Party,"Chiam See Tong
Benjamin Pwee
Wilfred Leung
Jimmy Lee
Mohamad Hamim Aliyas","47,205",43.07 / 100,N/A,
,Chua Chu Kang GRC,5,"158,648", People's Action Party,"Gan Kim Yong
Alvin Yeo
Zaqy Mohamad
Alex Yam
Low Yen Ling","89,710",61.20 / 100,0.83,22.40%
,,,, National Solidarity Party,"Sebastian Teo
Tony Tan
Hazel Poa
Nor Lella Mardiiiah Mohamed
Jeisilan Sivalingam","56,885",38.80 / 100,N/A,
,East Coast GRC,5,"120,324", People's Action Party,"Lim Swee Say
Maliki Osman
Lee Yi Shyan
Jessica Tan
Raymond Lim","59,992",54.83 / 100,9.03,9.66%
,,,, Workers' Party,"Eric Tan
Png Eng Huat
Glenda Han
Gerald Giam
Mohamed Fazli Bin Talip","49,429",45.17 / 100,9.03,
,Holland–Bukit Timah GRC,4,"91,607", People's Action Party,"Vivian Balakrishnan
Christopher de Souza
Liang Eng Hwa
Sim Ann","48,773",60.08 / 100,N/A,20.16%
,,,, Singapore Democratic Party,"Tan Jee Say
Ang Yong Guan
Vincent Wijeysingha
Michelle Lee","32,406",39.92 / 100,N/A,
,Jurong GRC,5,"125,276", People's Action Party,"Tharman Shanmugaratnam
Halimah Bte Yacob
Ang Wei Neng
Desmond Lee
David Ong","76,595",66.96 / 100,N/A,33.92%
,,,, National Solidarity Party,"Christopher Neo
Abdul Rasheed
Elvin Ong
Ong Hock Siong
Noraini Yunus","37,786",33.04 / 100,N/A,
,Marine Parade GRC,5,"154,451", People's Action Party,"Goh Chok Tong
Tan Chuan Jin
Fatimah Lateef
Seah Kian Peng
Tin Pei Ling","78,286",56.64 / 100,N/A,13.28%
,,,, National Solidarity Party,"Cheo Chai Chen
Ivan Yeo
Abdul Salim Harun
Spencer Ng
Nicole Seah","59,926",43.36 / 100,N/A,
,Moulmein–Kallang GRC,4,"87,595", People's Action Party,"Lui Tuck Yew
Yaacob Ibrahim
Denise Phua
Edwin Tong","44,886",58.55 / 100,N/A,17.10%
,,,, Workers' Party,"Mohd Rahizan
Toh Hong Boon
L Somasundram
Frieda Chan","31,773",41.45 / 100,N/A,
,Nee Soon GRC,5,"148,290", People's Action Party,"K. Shanmugam
Muhammad Faishal Ibrahim
Lee Bee Wah
Lim Wee Kiak
Patrick Tay","80,740",58.40 / 100,N/A,16.80%
