,,,,,,,,,,
,Division,Seats,Voters,Party,Candidate(s),Votes,%,Sample counts,Swing,Margins
,Bukit Batok SMC,1,"27,077", People's Action Party,David Ong,"18,234",73.02 / 100,74 / 100,N/A,46.64%
,,,, Singapore Democratic Party,Sadasivam Veriyah,"6,588",26.38 / 100,26 / 100,N/A,
,,,,Independent,Samir Salim Neji,150,0.60 / 100,0 / 100,N/A,
,Bukit Panjang SMC,1,"34,317", People's Action Party,Teo Ho Pin,"21,954",68.38 / 100,69 / 100,2.11,36.76%
,,,, Singapore Democratic Party,Khung Wai Yeen,"10,152",31.62 / 100,31 / 100,2.11,
,Fengshan SMC,1,"23,427", People's Action Party,Cheryl Chan,"12,417",57.50 / 100,57 / 100,N/A,5.00%
,,,, Workers' Party,Dennis Tan,"9,176",42.50 / 100,43 / 100,N/A,
,Hong Kah North SMC,1,"28,145", People's Action Party,Amy Khor,"19,628",74.76 / 100,74 / 100,4.15,49.52%
,,,, Singapore People's Party,Ravi Philemon,"6,627",25.24 / 100,26 / 100,4.15,
,Hougang SMC,1,"24,097", Workers' Party,Png Eng Huat,"13,027",57.66 / 100,58 / 100,7.14,15.32%
,,,, People's Action Party,Lee Hong Chuang,"9,565",42.34 / 100,42 / 100,7.14,
,MacPherson SMC,1,"28,511", People's Action Party,Tin Pei Ling,"17,251",65.60 / 100,63 / 100,N/A,32.01%
,,,, Workers' Party,Bernard Chen,"8,833",33.59 / 100,36 / 100,N/A,
,,,,National Solidarity Party,Cheo Chai Chen,215,0.82 / 100,1 / 100,N/A,
,Mountbatten SMC,1,"24,143", People's Action Party,Lim Biow Chuan,"15,331",71.86 / 100,72 / 100,13.24,43.72%
,,,, Singapore People's Party,Jeannette Chong-Aruldoss,"6,004",28.14 / 100,28 / 100,13.24,
,Pioneer SMC,1,"25,458", People's Action Party,Cedric Foo,"18,017",76.35 / 100,78 / 100,15.62,53.70%
,,,, National Solidarity Party,Elvin Ong,"5,581",23.65 / 100,22 / 100,15.62,
,Potong Pasir SMC,1,"17,407", People's Action Party,Sitoh Yih Pin,"10,602",66.39 / 100,68 / 100,16.03,32.78%
,,,, Singapore People's Party,Lina Chiam,"5,368",33.61 / 100,32 / 100,16.03,
,Punggol East SMC,1,"34,466", People's Action Party,Charles Chong,"16,977",51.77 / 100,51 / 100,2.77,3.54%
,,,, Workers' Party,Lee Li Lian,"15,818",48.23 / 100,49 / 100,7.22,
,Radin Mas SMC,1,"28,906", People's Action Party,Sam Tan,"20,246",77.25 / 100,77 / 100,10.15,64.53%
,,,, Reform Party,Kumar Appavoo,"3,333",12.72 / 100,14 / 100,20.18,
,,,,Independent,Han Hui Hui,"2,630",10.03 / 100,9 / 100,N/A,
,Sengkang West SMC,1,"30,119", People's Action Party,Lam Pin Min,"17,586",62.13 / 100,63 / 100,4.02,24.26%
,,,, Workers' Party,Koh Choong Yong,"10,721",37.87 / 100,37 / 100,4.02,
,Yuhua SMC,1,"22,617", People's Action Party,Grace Fu,"15,324",73.55 / 100,72 / 100,6.69,47.10%
,,,, Singapore Democratic Party,Jaslyn Go,"5,512",26.45 / 100,28 / 100,6.69,
