,,,,,,,,,,,
,Division,Seats,Voters,Rejected,Party,Candidate(s),Votes,%,Sample counts %,Swing,Margins
,Bukit Batok SMC[190],1,"29,948",533, People's Action Party,Murali Pillai,"15,500",54.80 / 100,57 / 100,6.43,9.60%
,,,,, Singapore Democratic Party,Chee Soon Juan,"12,787",45.20 / 100,43 / 100,6.43,
,Bukit Panjang SMC[191],1,"35,437",586, People's Action Party,Liang Eng Hwa,"18,085",53.73 / 100,56 / 100,14.65,7.46%
,,,,, Singapore Democratic Party,Paul Tambyah,"15,576",46.27 / 100,44 / 100,14.65,
,Hong Kah North SMC[192],1,"28,046",403, People's Action Party,Amy Khor,"16,347",60.99 / 100,63 / 100,13.77,21.98%
,,,,, Progress Singapore Party,Gigene Wong,"10,457",39.01 / 100,37 / 100,13.77,
,Hougang SMC[193],1,"26,432",272, Workers' Party,Dennis Tan,"15,451",61.21 / 100,58 / 100,3.52,22.42%
,,,,, People's Action Party,Lee Hong Chuang,"9,791",38.79 / 100,42 / 100,3.52,
,Kebun Baru SMC[194],1,"22,623",387, People's Action Party,Henry Kwek,"13,309",62.92 / 100,68 / 100,N/A,25.84%
,,,,, Progress Singapore Party,Kumaran Pillai,"7,842",37.08 / 100,32 / 100,N/A,
,MacPherson SMC[195],1,"28,513",625, People's Action Party,Tin Pei Ling,"19,009",71.74 / 100,73 / 100,6.16,43.48%
,,,,, People's Power Party,Goh Meng Seng,"7,489",28.26 / 100,27 / 100,N/A,
,Marymount SMC[196],1,"23,431",305, People's Action Party,Gan Siow Huang,"12,173",55.04 / 100,54 / 100,N/A,10.08%
,,,,, Progress Singapore Party,Ang Yong Guan,"9,943",44.96 / 100,46 / 100,N/A,
,Mountbatten SMC[197],1,"24,246",589, People's Action Party,Lim Biow Chuan,"16,285",73.82 / 100,75 / 100,1.96,47.64%
,,,,, Peoples Voice,Sivakumaran Chellappa,"5,775",26.18 / 100,25 / 100,N/A,
,Pioneer SMC[198],1,"24,653",350, People's Action Party,Patrick Tay,"14,593",62.00 / 100,66 / 100,14.34,26.78%
,,,,, Progress Singapore Party,Lim Cher Hong,"8,289",35.22 / 100,32 / 100,N/A,
,,,,,Independent,Cheang Peng Wah,655,2.78 / 100,2 / 100,N/A,
,Potong Pasir SMC[199],1,"19,731",279, People's Action Party,Sitoh Yih Pin,"11,264",60.67 / 100,61 / 100,5.74,21.34%
,,,,, Singapore People's Party,Jose Raymond,"7,302",39.33 / 100,39 / 100,5.74,
,Punggol West SMC[200],1,"26,587",217, People's Action Party,Sun Xueling,"15,655",60.98 / 100,65 / 100,N/A,21.96%
,,,,, Workers' Party,Tan Chen Chen,"10,017",39.02 / 100,35 / 100,N/A,
,Radin Mas SMC[201],1,"24,931",818, People's Action Party,Melvin Yong,"16,864",74.01 / 100,76 / 100,3.24,48.02%
,,,,, Reform Party,Kumar Appavoo,"5,922",25.99 / 100,24 / 100,3.24,
,Yio Chu Kang SMC[202],1,"25,962",413, People's Action Party,Yip Hon Weng,"14,775",60.82 / 100,61 / 100,N/A,21.64%
,,,,, Progress Singapore Party,Kayla Low,"9,519",39.18 / 100,39 / 100,N/A,
,Yuhua SMC[203],1,"21,351",406, People's Action Party,Grace Fu,"14,131",70.54 / 100,69 / 100,3.00,41.08%
,,,,, Singapore Democratic Party,Robin Low,"5,901",29.46 / 100,31 / 100,3.00,
,Bishan–Toa Payoh GRC[204],4,"101,220","2,049", People's Action Party,"Ng Eng Hen
Chee Hong Tat
Chong Kee Hiong
Saktiandi Supaat","62,983",67.23 / 100,67 / 100,6.36,34.46%
,,,,, Singapore People's Party,"Steve Chia
Williamson Lee
Melvyn Chiu
Osman Sulaiman","30,696",32.77 / 100,33 / 100,6.36,
,Chua Chu Kang GRC[205],4,"106,632","1,410", People's Action Party,"Gan Kim Yong
Low Yen Ling
Don Wee
Zhulkarnain Abdul Rahim","59,554",58.64 / 100,59 / 100,18.25,17.28%
,,,,, Progress Singapore Party,"Francis Yuen
Abdul Rahman Mohamad
Tan Meng Wah
Choo Shaun Ming","42,012",41.36 / 100,41 / 100,N/A,
,Holland–Bukit Timah GRC[206],4,"114,973","1,999", People's Action Party,"Vivian Balakrishnan
Sim Ann
Christopher de Souza
Edward Chia","71,218",66.36 / 100,68 / 100,0.24,32.72%
,,,,, Singapore Democratic Party,"Tan Jee Say
James Gomez
Min Cheong
Alfred Tan","36,100",33.64 / 100,32 / 100,0.24,
,Jalan Besar GRC[207],4,"107,720","2,948", People's Action Party,"Josephine Teo
Heng Chee How
Denise Phua
Wan Rizal Wan Zakariah","64,631",65.36 / 100,67 / 100,2.37,30.72%
,,,,, Peoples Voice,"Lim Tean
Michael Fang Amin
Leong Sze Hian
Nor Azlan Sulaiman","34,261",34.64 / 100,33 / 100,N/A,
,Marsiling–Yew Tee GRC[208],4,"117,077","2,097", People's Action Party,"Lawrence Wong
Alex Yam
Zaqy Mohamad
Hany Soh","69,813",63.18 / 100,64 / 100,5.55,26.36%
,,,,, Singapore Democratic Party,"Benjamin Pwee
Bryan Lim
Damanhuri Abas
Khung Wai Yeen","40,690",36.82 / 100,36 / 100,5.55,
,Sengkang GRC[209],4,"120,100","1,194", Workers' Party,"He Ting Ru
Louis Chua
Jamus Lim
Raeesah Khan","60,217",52.12 / 100,53 / 100,N/A,4.24%
,,,,, People's Action Party,"Ng Chee Meng
Lam Pin Min
Amrin Amin
Raymond Lye","55,319",47.88 / 100,47 / 100,N/A,
,Aljunied GRC[210],5,"150,821","1,582", Workers' Party,"Pritam Singh
Sylvia Lim
Muhamad Faisal Manap
Gerald Giam
Leon Perera","85,815",59.95 / 100,60 / 100,8.99,19.90%
,,,,, People's Action Party,"Victor Lye
Alex Yeo
Chan Hui Yuh
Chua Eng Leong
Shamsul Kamar","57,330",40.05 / 100,40 / 100,8.99,
,Ang Mo Kio GRC[211],5,"185,261","5,016", People's Action Party,"Lee Hsien Loong
Darryl David
Gan Thiam Poh
Ng Ling Ling
Nadia Ahmad Samdin","124,597",71.91 / 100,72 / 100,6.72,43.82%
,,,,, Reform Party,"Kenneth Jeyaretnam
Charles Yeo
Andy Zhu
Noraini Yunus
Darren Soh","48,677",28.09 / 100,28 / 100,6.72,
,East Coast GRC[212],5,"121,644","1,393", People's Action Party,"Heng Swee Keat
Maliki Osman
Tan Kiat How
Cheryl Chan
Jessica Tan","61,144",53.39 / 100,54 / 100,7.34,6.78%
,,,,, Workers' Party,"Nicole Seah
Kenneth Foo
Dylan Ng
Abdul Shariff Aboo Kassim
Terence Tan","53,375",46.61 / 100,46 / 100,7.34,
,Jurong GRC[213],5,"131,058","2,519", People's Action Party,"Tharman Shanmugaratnam
Tan Wu Meng
Rahayu Mahzam
Shawn Huang
Xie Yao Quan","91,846",74.61 / 100,75 / 100,4.67,49.22%
,,,,, Red Dot United,"Michelle Lee Juen
Ravi Philemon
Nicholas Tang
Liyana Dhamirah
Alec Tok","31,260",25.39 / 100,25 / 100,N/A,
,Marine Parade GRC[214],5,"139,622","1,789", People's Action Party,"Tan Chuan-Jin
Edwin Tong
Seah Kian Peng
Tan See Leng
Mohd Fahmi Aliman","75,203",57.74 / 100,57 / 100,6.33,15.52%
,,,,, Workers' Party,"Yee Jenn Jong
Ron Tan
Nathaniel Koh
Muhammad Fadli Bin
Muhammad Azhar Bin Abdul Latip","55,047",42.26 / 100,43 / 100,6.33,
,Nee Soon GRC[215],5,"146,902","2,200", People's Action Party,"K. Shanmugam
Carrie Tan
Derrick Goh
Louis Ng
Muhammad Faishal Ibrahim","86,308",61.90 / 100,61 / 100,4.93,23.80%
,,,,, Progress Singapore Party,"Kala Manickam
Taufik Supan
Bradley Bowyer
Sri Nallakaruppan
Damien Tay","53,131",38.10 / 100,39 / 100,N/A,
,Pasir Ris–Punggol GRC[216],5,"166,556","3,395", People's Action Party,"Teo Chee Hean
Janil Puthucheary
Mohamed Sharael Taha
Yeo Wan Ling
Desmond Tan","100,932",64.16 / 100,63 / 100,8.73,40.49%
,,,,, Singapore Democratic Alliance,"Desmond Lim
Abu Mohamed
Halminder Pal Singh
Kelvin Ong
Kuswadi Atnawi","37,237",23.67 / 100,25 / 100,3.44,
,,,,, Peoples Voice,"Jireh Lim
Prabu Ramachandran
Mohamed Nassir Ismail
Goh Keow Wah
Vigneswari Ramachandran","19,147",12.17 / 100,12 / 100,N/A,
,Sembawang GRC[217],5,"147,786","2,948", People's Action Party,"Ong Ye Kung
Vikram Nair
Lim Wee Kiak
Poh Li San
Mariam Jaafar","94,176",67.29 / 100,69 / 100,4.99,34.58%
,,,,, National Solidarity Party,"Spencer Ng
Sebastian Teo
Sathin Ravindran
Ivan Yeo
Yadzeth Hairis","45,778",32.71 / 100,31 / 100,4.99,
,Tampines GRC[218],5,"151,589","3,521", People's Action Party,"Masagos Zulkifli
Baey Yam Keng
Desmond Choo
Cheng Li Hui
Koh Poh Koon","94,668",66.41 / 100,67 / 100,5.65,32.82%
,,,,, National Solidarity Party,"Reno Fong
Mohd Ridzwan Mohammad
Yeo Ren-Yuan
Choong Hon Heng
Vincent Ng","47,875",33.59 / 100,33 / 100,5.65,
,Tanjong Pagar GRC[219],5,"134,494","1,933", People's Action Party,"Chan Chun Sing
Indranee Rajah
Joan Pereira
Eric Chua Swee Leong
Alvin Tan","78,330",63.10 / 100,63 / 100,14.61,26.20%
,,,,, Progress Singapore Party,"Wendy Low
Harish Pillay
Michael Chua Teck Leong
A’bas Kasmani
Terence Soon","45,807",36.90 / 100,37 / 100,14.61,
,West Coast GRC[220],5,"146,089","1,646", People's Action Party,"S. Iswaran
Desmond Lee
Foo Mee Har
Rachel Ong
Ang Wei Neng","71,658",51.68 / 100,52 / 100,26.89,3.36%
,,,,, Progress Singapore Party,"Tan Cheng Bock
Leong Mun Wai
Hazel Poa
Nadarajah Loganathan
Jeffrey Khoo","66,996",48.32 / 100,48 / 100,N/A,
