,,,,,,,,,,
,Division,Seats,Voters,Rejected,Party,Candidate(s),Votes,%,Swing,Margins
,Bukit Gombak SMC,1,"23,806",298,People's Action Party,Low Yen Ling,"17,946",75.81 / 100,N/A,51.62%
,,,,,Progress Singapore Party,Harish Pillay,"5,726",24.19 / 100,N/A,
,Bukit Panjang SMC,1,"31,481",350,People's Action Party,Liang Eng Hwa,"19,152",61.38 / 100,7.65,22.76%
,,,,,Singapore Democratic Party,Paul Tambyah,"12,051",38.62 / 100,7.65,
,Hougang SMC,1,"27,481",296,Workers' Party,Dennis Tan,"16,956",62.15 / 100,0.94,24.30%
,,,,,People's Action Party,Marshall Lim,"10,327",37.85 / 100,0.94,
,Jalan Kayu SMC,1,"27,796",377,People's Action Party,Ng Chee Meng,"14,146",51.47 / 100,N/A,2.94%
,,,,,Workers' Party,Andre Low,"13,337",48.53 / 100,N/A,
,Jurong Central SMC,1,"27,713",531,People's Action Party,Xie Yao Quan,"21,947",80.51 / 100,N/A,61.02%
,,,,,Red Dot United,Kala Manickam,"5,313",19.49 / 100,N/A,
,Kebun Baru SMC,1,"20,356",325,People's Action Party,Henry Kwek,"13,787",68.49 / 100,5.57,36.98%
,,,,,Progress Singapore Party,Tony Tan,"6,342",31.51 / 100,5.57,
,Marymount SMC,1,"21,282",251,People's Action Party,Gan Siow Huang,"14,954",70.73 / 100,15.69,41.46%
,,,,,Progress Singapore Party,Jeffrey Khoo,"6,187",29.27 / 100,15.69,
,Mountbatten SMC,1,"20,063",474,People's Action Party,Gho Sze Kee,"12,602",63.82 / 100,9.96,27.64%
,,,,,Independent,Jeremy Tan,"7,143",36.18 / 100,N/A,
,Pioneer SMC,1,"23,656",233,People's Action Party,Patrick Tay,"15,360",65.45 / 100,3.47,30.90%
,,,,,Progress Singapore Party,Stephanie Tan,"8,110",34.55 / 100,0.66,
,Potong Pasir SMC,1,"28,275",544,People's Action Party,Alex Yeo,"19,288",69.20 / 100,8.53,46.74%
,,,,,Singapore People's Party,Williamson Lee,"6,261",22.46 / 100,16.85,
,,,,,People's Alliance for Reform,Lim Tean,"2,323",8.33 / 100,N/A,
,Queenstown SMC,1,"26,468",705,People's Action Party,Eric Chua,"20,990",81.13 / 100,N/A,62.26%
,,,,,People's Alliance for Reform,Mahaboob Batcha,"4,883",18.87 / 100,N/A,
,Radin Mas SMC,1,"23,289",446,People's Action Party,Melvin Yong,"15,854",69.12 / 100,4.79,45.60%
,,,,,Independent,Darryl Lo,"5,394",23.52 / 100,N/A,
,,,,,People's Alliance for Reform,Kumar Appavoo,"1,689",7.36 / 100,18.63,
,Sembawang West SMC,1,"22,788",269,People's Action Party,Poh Li San,"11,999",53.18 / 100,N/A,6.36%
,,,,,Singapore Democratic Party,Chee Soon Juan,"10,564",46.82 / 100,N/A,
,Tampines Changkat SMC,1,"22,372",224,People's Action Party,Desmond Choo,"12,476",56.16 / 100,N/A,12.32%
,,,,,Workers' Party,Kenneth Foo,"9,741",43.84 / 100,N/A,
,Yio Chu Kang SMC,1,"23,400",559,People's Action Party,Yip Hon Weng,"18,066",78.75 / 100,17.92,57.50%
,,,,,People's Alliance for Reform,Michael Fang,"4,876",21.25 / 100,N/A,
,Aljunied GRC,5,"133,451","1,341",Workers' Party,"Pritam Singh
Sylvia Lim
Gerald Giam
Fadli Fawzi
Kenneth Tiong","79,254",59.71 / 100,0.27,19.42%
,,,,,People's Action Party,"Chan Hui Yuh
Adrian Ang
Faisal Abdul Aziz
Jagathishwaran Rajo
Daniel Liu","53,471",40.29 / 100,0.27,
,Ang Mo Kio GRC,5,"150,312","4,399",People's Action Party,"Lee Hsien Loong
Darryl David
Jasmin Lau
Victor Lye
Nadia Ahmad Samdin","115,562",78.95 / 100,7.04,68.11%
,,,,,Singapore United Party,"Vincent Ng
Nigel Ng
Noraini Yunus
Ridhuan Chandran
Andy Zhu","15,874",10.84 / 100,N/A,
,,,,,People's Power Party,"Heng Zheng Dao
Martinn Ho
Samuel Lee
William Lim
Thaddeus Thomas","14,929",10.21 / 100,N/A,
,Bishan–Toa Payoh GRC,4,"90,020","2,092",People's Action Party,"Chee Hong Tat
Cai Yinzhou
Elysa Chen
Saktiandi Supaat","66,455",75.18 / 100,7.95,50.36%
,,,,,Singapore People's Party,"Steve Chia
Melvyn Chiu
Lim Rui Xian
Muhammad Norhakim","21,944",24.82 / 100,7.95,
,Chua Chu Kang GRC,4,"87,677","1,191",People's Action Party,"Tan See Leng
Choo Pei Ling
Jeffrey Siow
Zhulkarnain Abdul Rahim","55,140",63.60 / 100,4.96,27.20%
,,,,,Progress Singapore Party,"A'bas Kasmani
Wendy Low
Lawrence Pek
S Nallakaruppan","31,562",36.40 / 100,4.96,
,East Coast GRC,5,"137,141","1,570",People's Action Party,"Edwin Tong
Dinesh Vasu Dash
Hazlina Abdul Halim
Tan Kiat How
Jessica Tan","80,105",58.73 / 100,5.34,17.46%
,,,,,Workers' Party,"Nathaniel Koh
Jasper Kuan
Paris V Parameswari
Sufyan Mikhail Putra
Yee Jenn Jong","56,288",41.27 / 100,5.34,
,Holland–Bukit Timah GRC,4,"111,632","2,694",People's Action Party,"Vivian Balakrishnan
Edward Chia
Christopher de Souza
Sim Ann","86,936",79.25 / 100,12.89,58.50%
,,,,,Red Dot United,"Fazli Talip
Nizar Subair
Sharad Kumar
Emily Woo","22,762",20.75 / 100,N/A,
,Jalan Besar GRC,4,"96,862","3,349",People's Action Party,"Josephine Teo
Shawn Loh
Denise Phua
Wan Rizal","70,602",75.21 / 100,9.85,50.42%
,,,,,People's Alliance for Reform,"Chiu Shin Kong
Mohamad Hamim Aliyas
Sarina Abu Hassan
Vigneswari V Ramachandran","23,267",24.79 / 100,N/A,
,Jurong East–Bukit Batok GRC,5,"132,786","3,198",People's Action Party,"Grace Fu
David Hoe
Lee Hong Chuang
Murali Pillai
Rahayu Mahzam","99,692",76.67 / 100,N/A,53.34%
,,,,,Red Dot United,"Harish Mohanadas
Liyana Dhamirah
Marcus Neo
Osman Sulaiman
Ben Puah","30,342",23.33 / 100,N/A,
,Marine Parade–Braddell Heights GRC,5,,,People's Action Party,"Seah Kian Peng
Goh Pei Ming
Muhammad Faishal Ibrahim
Diana Pang
Tin Pei Ling",Uncontested,,N/A,
,Marsiling–Yew Tee GRC,4,"119,559","1,668",People's Action Party,"Lawrence Wong
Hany Soh
Alex Yam
Zaqy Mohamad","81,143",73.48 / 100,10.30,46.96%
,,,,,Singapore Democratic Party,"Ariffin Sha
Jufri Salim
Alec Tok
Gigene Wong","29,281",26.52 / 100,10.30,
,Nee Soon GRC,5,"142,286","3,090",People's Action Party,"K. Shanmugam
Jackson Lam
Goh Hanyan
Lee Hui Ying
Syed Harun Alhabsyi","102,974",73.81 / 100,11.91,47.62%
,,,,,Red Dot United,"David Foo
Sharon Lin
Pang Heng Chuan
Ravi Philemon
Syed Alwi Ahmad","36,538",26.19 / 100,N/A,
,Pasir Ris–Changi GRC,4,"92,479","2,491",People's Action Party,"Indranee Rajah
Valerie Lee
Sharael Taha
Desmond Tan","61,168",67.68 / 100,N/A,35.36%
,,,,,Singapore Democratic Alliance,"Abu Mohamed
Chia Yun Kai
Harminder Pal Singh
Desmond Lim","29,213",32.32 / 100,N/A,
,Punggol GRC,4,"116,074",823,People's Action Party,"Gan Kim Yong
Janil Puthucheary
Sun Xueling
Yeo Wan Ling","63,745",55.17 / 100,N/A,10.34%
,,,,,Workers' Party,"Jackson Au
Alexis Dang
Harpreet Singh Nehal
Siti Alia Mattar","51,789",44.83 / 100,N/A,
,Sembawang GRC,5,"125,746","1,848",People's Action Party,"Ong Ye Kung
Gabriel Lam
Mariam Jaafar
Ng Shi Xuan
Vikram Nair","84,159",67.76 / 100,0.47,37.84%
,,,,,Singapore Democratic Party,"Damanhuri Abas
James Gomez
Bryan Lim Boon Heng
Surayah Akbar
Alfred Tan","37,157",29.92 / 100,N/A,
,,,,,National Solidarity Party,"Raiyian Chia
Lee Wei
Spencer Ng
Verina Ong
Yadzeth Hairis","2,878",2.32 / 100,30.39,
,Sengkang GRC,4,"118,815",927,Workers' Party,"He Ting Ru
Louis Chua
Jamus Lim
Abdul Muhaimin","66,599",56.32 / 100,4.20,12.64%
,,,,,People's Action Party,"Lam Pin Min
Elmie Nekmat
Bernadette Giam
Theodora Lai","51,657",43.68 / 100,4.20,
,Tampines GRC,5,"138,570","1,262",People's Action Party,"Masagos Zulkifli
Baey Yam Keng
Charlene Chen
Koh Poh Koon
David Neo","71,589",52.02 / 100,14.39,4.65%
,,,,,Workers' Party,"Faisal Manap
Eileen Chong
Ong Lue Ping
Tan Khim Teck
Michael Thng","65,197",47.37 / 100,N/A,
,,,,,People's Power Party,"Arbaah Haroun
Goh Meng Seng
Derrick Sim
Peter Soh
Vere Nathan",596,0.43 / 100,N/A,
,,,,,National Solidarity Party,"Reno Fong
Ridzwan Mohammad
Zee Phay
Thamilselvan Karuppaya
Yeo Ren-yuan",249,0.18 / 100,33.41,
,Tanjong Pagar GRC,5,"124,774","3,681",People's Action Party,"Chan Chun Sing
Foo Cexiang
Joan Pereira
Rachel Ong
Alvin Tan","98,924",81.02 / 100,17.90,62.04%
,,,,,People's Alliance for Reform,"Rickson Giauw
Han Hui Hui
Nadarajan Selvamani
Prabu Ramachandran
Soh Lian Chye","23,169",18.98 / 100,N/A,
,West Coast–Jurong West GRC,5,"148,647","1,438",People's Action Party,"Desmond Lee
Ang Wei Neng
Hamid Razak
Shawn Huang
Cassandra Lee","88,587",59.99 / 100,N/A,19.98%
,,,,,Progress Singapore Party,"Tan Cheng Bock
Leong Mun Wai
Hazel Poa
Sani Ismail
Sumarleki Amjah","59,078",40.01 / 100,N/A,
