Constituency,Seats,Electorate,Party,Candidates,Votes,%,Old Seats,New Seats,Seat Change
Aljunied GRC,5,"103,466",People's Action Party,"Ker Sin Tze
David Lim
Sidek Saniff
Toh See Kiat
George Yeo","64,299",67.02,5,3,-2
Aljunied GRC,5,,Singapore Democratic Party,"Aziz Ibrahim
Kwan Yue Keng
S. Kunalen
Tay Hoon
Wong Hong Toy","31,645",32.98,0,2,2
Cheng San GRC,5,"103,323",People's Action Party,"Heng Chiang Meng
Lee Yock Suan
Michael Lim
Yeo Guat Kwang
Zainul Abidin Rasheed","53,553",54.82,5,2,-3
Cheng San GRC,5,,Workers' Party,"Abdul Rahim Bin Osman
Huang Seow Kwang
J. B. Jeyaretnam[b]
Tan Bin Seng
Tang Liang Hong","44,132",45.18,0,3,3
Hong Kah GRC,5,"125,452",People's Action Party,"John Chen
Kenneth Chen
Peter Chen Min Liang
Harun Abdul Ghani
Yeo Cheow Tong","82,182",69.0,5,3,-2
Hong Kah GRC,5,,National Solidarity Party,"Steve Chia
Patrick Kee
Tan Chee Kien
Wong Wee Nam
Yadzeth Bin Hairis","36,920",31.0,0,2,2
Jalan Besar GRC,4,"71,922",People's Action Party,"Choo Wee Khiang
Lee Boon Yang
Peh Chin Hua
Yaacob Ibrahim","44,840",67.55,4,2,-2
Jalan Besar GRC,4,,Singapore Democratic Party,"David Chew
Gandhi Ambalam
Jufrie Mahmood
Low Yong Nguan","21,537",32.45,0,2,2
Pasir Ris GRC,4,"85,908",People's Action Party,"Ahmad Mohamed Magad
Charles Chong
Ong Kian Min
Teo Chee Hean","56,907",70.86,4,2,-2
Pasir Ris GRC,4,,Workers' Party,"A. Balakrishnan
A. Rahim
Lim Chiu Liang
Sim Say Chuan","23,404",29.14,0,2,2
West Coast GRC,4,"74,022",People's Action Party,"Bernard Chen
Lim Hng Kiang
S. Iswaran
Wan Soon Bee","48,275",70.14,4,2,-2
West Coast GRC,4,,Workers' Party,"Mike Chan
Anthony D'Cruz
John Gan
Ng Teck Siong","20,550",29.86,0,2,2
