Division,Seats,Voters,Rejected,Party,Candidate(s),Votes,%,Swing,Margins,Old Seats,New Seats,Seat Change
Aljunied GRC,5,"133,451","1,341",Workers' Party,"Pritam Singh
Sylvia Lim
Gerald Giam
Fadli Fawzi
Kenneth Tiong","79,254",59.71,0.27,19.42%,5,3,-2
Aljunied GRC,5,,,People's Action Party,"Chan Hui Yuh
Adrian Ang
Faisal Abdul Aziz
Jagathishwaran Rajo
Daniel Liu","53,471",40.29,0.27,,0,2,2
Ang Mo Kio GRC,5,"150,312","4,399",People's Action Party,"Lee Hsien Loong
Darryl David
Jasmin Lau
Victor Lye
Nadia Ahmad Samdin","115,562",78.95,7.04,68.11%,5,3,-2
Ang Mo Kio GRC,5,,,Singapore United Party,"Vincent Ng
Nigel Ng
Noraini Yunus
Ridhuan Chandran
Andy Zhu","15,874",10.84,,,0,1,1
Ang Mo Kio GRC,5,,,People's Power Party,"Heng Zheng Dao
Martinn Ho
Samuel Lee
William Lim
Thaddeus Thomas","14,929",10.21,,,0,1,1
Bishan–Toa Payoh GRC,4,"90,020","2,092",People's Action Party,"Chee Hong Tat
Cai Yinzhou
Elysa Chen
Saktiandi Supaat","66,455",75.18,7.95,50.36%,4,3,-1
Bishan–Toa Payoh GRC,4,,,Singapore People's Party,"Steve Chia
Melvyn Chiu
Lim Rui Xian
Muhammad Norhakim","21,944",24.82,7.95,,0,1,1
Chua Chu Kang GRC,4,"87,677","1,191",People's Action Party,"Tan See Leng
Choo Pei Ling
Jeffrey Siow
Zhulkarnain Abdul Rahim","55,140",63.6,4.96,27.20%,4,2,-2
Chua Chu Kang GRC,4,,,Progress Singapore Party,"A'bas Kasmani
Wendy Low
Lawrence Pek
S Nallakaruppan","31,562",36.4,4.96,,0,2,2
East Coast GRC,5,"137,141","1,570",People's Action Party,"Edwin Tong
Dinesh Vasu Dash
Hazlina Abdul Halim
Tan Kiat How
Jessica Tan","80,105",58.73,5.34,17.46%,5,2,-3
East Coast GRC,5,,,Workers' Party,"Nathaniel Koh
Jasper Kuan
Paris V Parameswari
Sufyan Mikhail Putra
Yee Jenn Jong","56,288",41.27,5.34,,0,3,3
Holland–Bukit Timah GRC,4,"111,632","2,694",People's Action Party,"Vivian Balakrishnan
Edward Chia
Christopher de Souza
Sim Ann","86,936",79.25,12.89,58.50%,4,3,-1
Holland–Bukit Timah GRC,4,,,Red Dot United,"Fazli Talip
Nizar Subair
Sharad Kumar
Emily Woo","22,762",20.75,,,0,1,1
Jalan Besar GRC,4,"96,862","3,349",People's Action Party,"Josephine Teo
Shawn Loh
Denise Phua
Wan Rizal","70,602",75.21,9.85,50.42%,4,3,-1
Jalan Besar GRC,4,,,People's Alliance for Reform,"Chiu Shin Kong
Mohamad Hamim Aliyas
Sarina Abu Hassan
Vigneswari V Ramachandran","23,267",24.79,,,0,1,1
Jurong East–Bukit Batok GRC,5,"132,786","3,198",People's Action Party,"Grace Fu
David Hoe
Lee Hong Chuang
Murali Pillai
Rahayu Mahzam","99,692",76.67,,53.34%,5,3,-2
Jurong East–Bukit Batok GRC,5,,,Red Dot United,"Harish Mohanadas
Liyana Dhamirah
Marcus Neo
Osman Sulaiman
Ben Puah","30,342",23.33,,,0,2,2
Marsiling–Yew Tee GRC,4,"119,559","1,668",People's Action Party,"Lawrence Wong
Hany Soh
Alex Yam
Zaqy Mohamad","81,143",73.48,10.30,46.96%,4,2,-2
Marsiling–Yew Tee GRC,4,,,Singapore Democratic Party,"Ariffin Sha
Jufri Salim
Alec Tok
Gigene Wong","29,281",26.52,10.30,,0,2,2
Nee Soon GRC,5,"142,286","3,090",People's Action Party,"K. Shanmugam
Jackson Lam
Goh Hanyan
Lee Hui Ying
Syed Harun Alhabsyi","102,974",73.81,11.91,47.62%,5,3,-2
Nee Soon GRC,5,,,Red Dot United,"David Foo
Sharon Lin
Pang Heng Chuan
Ravi Philemon
Syed Alwi Ahmad","36,538",26.19,,,0,2,2
Pasir Ris–Changi GRC,4,"92,479","2,491",People's Action Party,"Indranee Rajah
Valerie Lee
Sharael Taha
Desmond Tan","61,168",67.68,,35.36%,4,2,-2
Pasir Ris–Changi GRC,4,,,Singapore Democratic Alliance,"Abu Mohamed
Chia Yun Kai
Harminder Pal Singh
Desmond Lim","29,213",32.32,,,0,2,2
Punggol GRC,4,"116,074",823,People's Action Party,"Gan Kim Yong
Janil Puthucheary
Sun Xueling
Yeo Wan Ling","63,745",55.17,,10.34%,4,2,-2
Punggol GRC,4,,,Workers' Party,"Jackson Au
Alexis Dang
Harpreet Singh Nehal
Siti Alia Mattar","51,789",44.83,,,0,2,2
Sembawang GRC,5,"125,746","1,848",People's Action Party,"Ong Ye Kung
Gabriel Lam
Mariam Jaafar
Ng Shi Xuan
Vikram Nair","84,159",67.76,0.47,37.84%,5,3,-2
Sembawang GRC,5,,,Singapore Democratic Party,"Damanhuri Abas
James Gomez
Bryan Lim Boon Heng
Surayah Akbar
Alfred Tan","37,157",29.92,,,0,2,2
Sembawang GRC,5,,,National Solidarity Party,"Raiyian Chia
Lee Wei
Spencer Ng
Verina Ong
Yadzeth Hairis","2,878",2.32,30.39,,0,1,1
Sengkang GRC,4,"118,815",927,Workers' Party,"He Ting Ru
Louis Chua
Jamus Lim
Abdul Muhaimin","66,599",56.32,4.20,12.64%,4,3,-1
Sengkang GRC,4,,,People's Action Party,"Lam Pin Min
Elmie Nekmat
Bernadette Giam
Theodora Lai","51,657",43.68,4.20,,0,1,1
Tampines GRC,5,"138,570","1,262",People's Action Party,"Masagos Zulkifli
Baey Yam Keng
Charlene Chen
Koh Poh Koon
David Neo","71,589",52.02,14.39,4.65%,5,2,-3
Tampines GRC,5,,,Workers' Party,"Faisal Manap
Eileen Chong
Ong Lue Ping
Tan Khim Teck
Michael Thng","65,197",47.37,,,0,3,3
Tampines GRC,5,,,People's Power Party,"Arbaah Haroun
Goh Meng Seng
Derrick Sim
Peter Soh
Vere Nathan",596,0.43,,,0,1,1
Tampines GRC,5,,,National Solidarity Party,"Reno Fong
Ridzwan Mohammad
Zee Phay
Thamilselvan Karuppaya
Yeo Ren-yuan",249,0.18,33.41,,0,1,1
Tanjong Pagar GRC,5,"124,774","3,681",People's Action Party,"Chan Chun Sing
Foo Cexiang
Joan Pereira
Rachel Ong
Alvin Tan","98,924",81.02,17.90,62.04%,5,4,-1
Tanjong Pagar GRC,5,,,People's Alliance for Reform,"Rickson Giauw
Han Hui Hui
Nadarajan Selvamani
Prabu Ramachandran
Soh Lian Chye","23,169",18.98,,,0,1,1
West Coast–Jurong West GRC,5,"148,647","1,438",People's Action Party,"Desmond Lee
Ang Wei Neng
Hamid Razak
Shawn Huang
Cassandra Lee","88,587",59.99,,19.98%,5,2,-3
West Coast–Jurong West GRC,5,,,Progress Singapore Party,"Tan Cheng Bock
Leong Mun Wai
Hazel Poa
Sani Ismail
Sumarleki Amjah","59,078",40.01,,,0,3,3
