Division,Seats,Voters,Rejected,Party,Candidate(s),Votes,%,Sample counts %,Swing,Margins,Old Seats,New Seats,Seat Change
Bishan–Toa Payoh GRC[204],4,"101,220","2,049",People's Action Party,"Ng Eng Hen
Chee Hong Tat
Chong Kee Hiong
Saktiandi Supaat","62,983",67.23,67 / 100,6.36,34.46%,4,3,-1
Bishan–Toa Payoh GRC[204],4,,,Singapore People's Party,"Steve Chia
Williamson Lee
Melvyn Chiu
Osman Sulaiman","30,696",32.77,33 / 100,6.36,,0,1,1
Chua Chu Kang GRC[205],4,"106,632","1,410",People's Action Party,"Gan Kim Yong
Low Yen Ling
Don Wee
Zhulkarnain Abdul Rahim","59,554",58.64,59 / 100,18.25,17.28%,4,3,-1
Chua Chu Kang GRC[205],4,,,Progress Singapore Party,"Francis Yuen
Abdul Rahman Mohamad
Tan Meng Wah
Choo Shaun Ming","42,012",41.36,41 / 100,,,0,1,1
Holland–Bukit Timah GRC[206],4,"114,973","1,999",People's Action Party,"Vivian Balakrishnan
Sim Ann
Christopher de Souza
Edward Chia","71,218",66.36,68 / 100,0.24,32.72%,4,3,-1
Holland–Bukit Timah GRC[206],4,,,Singapore Democratic Party,"Tan Jee Say
James Gomez
Min Cheong
Alfred Tan","36,100",33.64,32 / 100,0.24,,0,1,1
Jalan Besar GRC[207],4,"107,720","2,948",People's Action Party,"Josephine Teo
Heng Chee How
Denise Phua
Wan Rizal Wan Zakariah","64,631",65.36,67 / 100,2.37,30.72%,4,3,-1
Jalan Besar GRC[207],4,,,Peoples Voice,"Lim Tean
Michael Fang Amin
Leong Sze Hian
Nor Azlan Sulaiman","34,261",34.64,33 / 100,,,0,1,1
Marsiling–Yew Tee GRC[208],4,"117,077","2,097",People's Action Party,"Lawrence Wong
Alex Yam
Zaqy Mohamad
Hany Soh","69,813",63.18,64 / 100,5.55,26.36%,4,3,-1
Marsiling–Yew Tee GRC[208],4,,,Singapore Democratic Party,"Benjamin Pwee
Bryan Lim
Damanhuri Abas
Khung Wai Yeen","40,690",36.82,36 / 100,5.55,,0,1,1
Sengkang GRC[209],4,"120,100","1,194",Workers' Party,"He Ting Ru
Louis Chua
Jamus Lim
Raeesah Khan","60,217",52.12,53 / 100,,4.24%,4,2,-2
Sengkang GRC[209],4,,,People's Action Party,"Ng Chee Meng
Lam Pin Min
Amrin Amin
Raymond Lye","55,319",47.88,47 / 100,,,0,2,2
Aljunied GRC[210],5,"150,821","1,582",Workers' Party,"Pritam Singh
Sylvia Lim
Muhamad Faisal Manap
Gerald Giam
Leon Perera","85,815",59.95,60 / 100,8.99,19.90%,5,2,-3
Aljunied GRC[210],5,,,People's Action Party,"Victor Lye
Alex Yeo
Chan Hui Yuh
Chua Eng Leong
Shamsul Kamar","57,330",40.05,40 / 100,8.99,,0,3,3
Ang Mo Kio GRC[211],5,"185,261","5,016",People's Action Party,"Lee Hsien Loong
Darryl David
Gan Thiam Poh
Ng Ling Ling
Nadia Ahmad Samdin","124,597",71.91,72 / 100,6.72,43.82%,5,4,-1
Ang Mo Kio GRC[211],5,,,Reform Party,"Kenneth Jeyaretnam
Charles Yeo
Andy Zhu
Noraini Yunus
Darren Soh","48,677",28.09,28 / 100,6.72,,0,1,1
